,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
364,Black Joystick2,Erica Synths,"['Controller', 'CV Modulation', 'LFO', 'Random']",12,30.0,71.0,20.0,0.0,210.0,4578,4.59,22.0,Available,1
365,ADDAC207,ADDAC System,"['Quantizer', 'Quad']",10,52.0,150.0,50.0,0.0,417.0,4573,4.25,33.0,Available,0
366,A-150,Doepfer,"['Dual/Stereo', 'Switch']",4,30.0,30.0,10.0,0.0,45.0,4563,4.35,34.0,Available,0
367,Chronoblob2,Alright Devices,"['Delay', 'Digital', 'Dual/Stereo', 'Effect']",12,30.0,80.0,15.0,0.0,315.0,4561,4.53,32.0,Available,1
368,CRATER,WMD,"['Drum', 'Oscillator']",8,38.0,120.0,80.0,0.0,298.0,4548,4.62,24.0,Available,0
369,Pico SEQ,Erica Synths,['Sequencer'],3,35.0,55.0,4.0,0.0,120.0,4543,4.38,24.0,No Info,1
370,Steve's MS-22,ThreeTom Modular,"['Attenuator', 'Filter', 'VCA', 'Oscillator']",4,45.0,100.0,100.0,0.0,235.0,4534,4.79,66.0,Available,1
371,O'Tool Plus,Dave Jones Design,"['Utility', 'Dual/Stereo', 'Tuner']",8,40.0,80.0,22.0,0.0,339.0,4524,4.57,65.0,Discontinued,0
372,FOUR PLAY,Behringer,"['VCA', 'Mixer', 'Quad']",12,41.0,100.0,100.0,0.0,99.0,4524,1.23,192.0,Available,0
373,Buchla 257t,Tiptop Audio,"['Attenuator', 'Dual/Stereo', 'CV Modulation', 'Mixer']",14,25.0,45.0,22.0,0.0,210.0,4500,4.38,8.0,Available,0
374,SCM - Shuffling Clock Multiplier V2,4ms Company,['Clock Modulator'],4,35.0,60.0,0.0,0.0,139.0,4477,4.33,39.0,Available,0
375,Listen IO,4ms Company,"['Dual/Stereo', 'External', 'Mixer', 'PreAmp', 'Utility']",6,24.0,62.0,55.0,0.0,113.0,4476,4.23,13.0,Available,1
376,914,Behringer,"['Filter', 'Equalizer']",28,42.0,60.0,70.0,0.0,78.0,4470,3.28,18.0,Available,0
377,CP909,Tiptop Audio,['Drum'],4,36.0,6.0,10.0,0.0,125.0,4470,3.85,26.0,Available,1
378,"Minimod Transistor Ladder Filter ""Dark Edition""",AJH Synth,"['Filter', 'Mixer']",14,26.0,45.0,30.0,0.0,289.0,4441,4.77,31.0,Available,0
379,Squawk Dirty To Me (black),Endorphin.es,"['Filter', 'VCA', 'Dual/Stereo', 'Digital', 'Effect', 'Low Pass Gate']",6,26.0,120.0,15.0,0.0,199.0,4425,3.45,20.0,Available,1
380,0-Coast,Make Noise,"['Function Generator', 'Low Pass Gate', 'MIDI', 'Mixer', 'Synth Voice', 'Oscillator', 'Sample and Hold']",45,33.7,400.0,35.6,0.0,575.0,4411,4.69,80.0,Available,0
381,LFO,2hp,"['CV Modulation', 'LFO']",2,34.0,43.0,16.0,0.0,134.0,4411,3.88,15.0,Discontinued,1
382,Euclid,2hp,"['Clock Generator', 'Clock Modulator', 'Sequencer']",2,42.0,21.0,2.0,0.0,98.0,4407,3.44,15.0,Available,1
383,µO_C micro Ornament & Crime,Michigan Synth Works,"['LFO', 'Quantizer', 'Random', 'Sequencer', 'Utility', 'Envelope Generator', 'Tuner', 'Quad']",8,33.7,85.0,10.0,0.0,232.0,4402,4.78,32.0,Available,0
384,S.B.G,ALM Busy Circuits,"['Attenuator', 'External', 'Utility', 'Mixer']",4,22.0,30.0,30.0,0.0,119.0,4395,4.35,17.0,Available,0
385,Navigator,Acid Rain Technology,"['Attenuator', 'Controller', 'Mixer', 'Polarizer', 'Utility']",4,25.0,11.0,8.0,0.0,80.0,4387,4.64,11.0,Available,1
386,Scan & Pan,Verbos Electronics,"['Mixer', 'Panning', 'Quad', 'Dual/Stereo', 'VCA']",14,26.0,50.0,20.0,0.0,439.0,4369,4.44,25.0,Available,0
