,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
7182,User Writeable Quantizer,Barton Musical Circuits,['Quantizer'],12,,,,,97.0,75,,,,0
7183,Quadrophonic Mixer,Sputnik Modular,"['Equalizer', 'Mixer', 'Reverb']",28,,,,,,75,5.0,1.0,,0
7184,zSUM-4,Motovilo,"['Attenuator', 'Mixer']",10,45.0,20.0,20.0,0.0,162.0,75,4.75,8.0,Available,0
7185,VC ROUTE MK2,Seismic Industries,"['Utility', 'Switch']",6,13.0,6.0,5.0,0.0,55.0,75,4.0,2.0,Discontinued,1
7186,Flux,Noise Reap,"['Noise', 'Random']",4,30.0,10.0,10.0,0.0,54.0,75,4.0,1.0,Discontinued,0
7187,Five Channel Passive Pro,Blue Lantern Modules,"['Attenuator', 'Switch', 'Utility']",12,38.0,,,,61.0,75,,,Available,0
7188,Programa,Blind Monk Modular,"['CV Modulation', 'Digital', 'Envelope Generator', 'Function Generator', 'LFO']",8,,12.0,23.0,29.0,151.0,75,3.5,2.0,Available,0
7189,Prizma (Modest Panel),Doboz,"['Clock Generator', 'Dual/Stereo', 'Quantizer', 'Random', 'Sequencer']",6,35.0,100.0,10.0,0.0,100.0,75,4.5,2.0,Discontinued,0
7190,MiniMod Dual LFO + VCA (Silver Panel Version),AJH Synth,"['LFO', 'VCA', 'Dual/Stereo']",10,26.0,25.0,22.0,0.0,274.0,75,,,Available,0
7191,Loafers,Noise Reap,"['Clock Generator', 'LFO', 'Function Generator']",12,22.0,32.0,13.0,,103.0,75,,,Discontinued,0
7192,DV3,York Modular,"['Envelope Generator', 'Dual/Stereo']",4,,,,,40.0,75,,,Available,0
7193,raw spring - mirror-,Error Instruments,['Controller'],3,,,,,34.0,75,,,Available,0
7194,pusherman switched mult,Pusherman,"['Utility', 'Multiple']",6,10.0,,,,15.0,75,,,Available,0
7195,Squid Axon,Nonlinearcircuits,['CV Modulation'],8,24.0,20.0,18.0,0.0,,75,4.33,3.0,,0
7196,4HP PATCH & TWEAK Blank,Patch & Tweak,['Blank Panel'],4,,,,,,75,,,,0
7197,MULTIPLE,eurorack essentials,"['Multiple', 'Utility']",8,15.0,,,,109.0,75,4.33,3.0,Available,1
7198,A-535 Gain Up! (Silver),Ladik,"['PreAmp', 'Utility']",4,35.0,20.0,,,50.0,75,,,Available,0
7199,MRG 3310 ADSR,MRG Synthesizers,['Envelope Generator'],4,40.0,18.0,17.0,0.0,80.0,75,,,Discontinued,0
7200,Proton,Behringer,"['Synth Voice', 'MIDI']",80,45.0,1000.0,,,299.0,75,5.0,1.0,,0
7201,Dual VCA,Sfeo,['VCA'],4,27.0,,,,75.0,75,3.0,1.0,Available,0
7202,Equation Group,Wildfire Laboratories,"['Digital', 'Logic', 'Multiple', 'Sample and Hold', 'Utility']",4,,,,,43.0,75,,,Available,1
7203,QUADBOOL,XOXO Modular,['Logic'],5,35.0,69.0,0.0,0.0,141.0,75,,,Available,1
7204,J-Conv,Feedback,"['External', 'Multiple', 'Utility']",6,25.0,,,,39.0,75,,,Available,1
7205,Horror Show,Frequency Central,"['Noise', 'Oscillator', 'Ring Modulator']",4,45.0,11.0,11.0,0.0,110.0,76,5.0,2.0,Available,0
7206,SEND,ST Modular,"['Dual/Stereo', 'Effect', 'Mixer']",8,35.0,25.0,15.0,0.0,,75,,,Available,0
7207,LFO,MeeBilt,['LFO'],6,20.0,15.0,15.0,,27.0,75,,,Available,0
7208,DSO 2,Tall Dog,"['Tuner', 'Utility']",14,34.0,8.0,8.0,250.0,160.0,75,,,Available,0
7209,Radiophonic workshop,Error Instruments,['Noise'],8,,,,,199.0,75,,,Available,0
7210,DHO,AtoVproject,"['LFO', 'Oscillator', 'Random', 'Waveshaper']",36,20.0,215.0,140.0,0.0,850.0,75,5.0,2.0,Available,0
7211,STEREO42,BearModules,"['Dual/Stereo', 'Dynamics', 'Mixer']",10,34.0,10.0,10.0,,199.0,75,1.0,1.0,Available,0
7212,Slimline Dual Sample&Hold,CatSynth,['Sample and Hold'],2,39.0,15.0,15.0,0.0,27.0,75,5.0,2.0,Available,1
7213,GODSPEar,G-Storm Electro,"['Filter', 'Mixer']",12,30.0,61.0,51.0,0.0,192.0,75,5.0,1.0,Available,0
7214,Slash,2hp,['Digital'],2,45.0,85.0,7.0,0.0,134.0,76,,,Available,1
7215,Gamma Wave Source (GWS) (Grayscale panel),Grayscale,"['Digital', 'Effect', 'Oscillator']",12,24.0,74.0,12.0,,231.0,74,4.5,2.0,,1
7216,MFOS Dual VCA,MFOS,"['Dual/Stereo', 'VCA']",8,,,,,,74,2.67,3.0,,0
7217,2LFO SH,Barton Musical Circuits,"['Dual/Stereo', 'LFO', 'Sample and Hold']",8,,,,,,74,4.67,3.0,,0
7218,VCF M104,EMW,"['Filter', 'Mixer']",10,60.0,22.0,9.0,,109.0,74,,,Discontinued,0
7219,Millipede VP VCF,Blue Lantern Modules,['Filter'],13,32.0,58.0,56.0,,223.0,74,5.0,1.0,,0
7220,Sample and Hold,PMFoundations,"['Random', 'Sample and Hold']",4,,,,,40.0,74,,,Available,1
