,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
6231,MetaButtons,4ms Company,['Expander'],6,,,,,,76,,0.0,,0
6232,Curry,WGD Modular,"['LFO', 'Quad']",14,22.0,44.0,44.0,,,76,,0.0,Available,0
6233,Stomper,Syinsi,"['Drum', 'Oscillator']",8,55.0,20.0,5.0,,134.0,76,5.0,1.0,,0
6234,LE DÉCHU,Sovage Engineering,"['CV Modulation', 'LFO', 'Oscillator']",16,33.0,48.0,47.0,0.0,350.0,76,4.75,4.0,Discontinued,0
6235,Dual Square Wave Generator Model 144,Tokyo Tape Music Center,"['Dual/Stereo', 'Oscillator']",14,38.0,54.0,,,324.0,76,5.0,1.0,Available,0
6236,RS-220 X-Y Controller,Analogue Systems,['Controller'],12,42.0,20.0,,0.0,229.0,76,4.0,1.0,Discontinued,0
6237,Output,MeeBilt,['Utility'],8,35.0,85.0,85.0,0.0,50.0,76,4.0,1.0,Available,0
6238,Model 32 Vector Plotter,Plan B,"['Controller', 'Logic', 'Switch']",14,,,,,195.0,76,4.25,4.0,Discontinued,0
6239,MVCF-I: 12dB/oct VCF,Majella Audio,"['Effect', 'Filter']",6,40.0,15.0,15.0,0.0,119.0,76,5.0,1.0,Available,1
6240,Slash,2hp,['Digital'],2,45.0,85.0,7.0,0.0,134.0,76,,0.0,Available,1
6241,Melakarta,Beers,"['Sequencer', 'Utility']",16,22.0,20.0,5.0,0.0,190.0,76,,0.0,Available,0
6242,MMI Helios Rectus,Herzlich Labs,"['Attenuator', 'Controller', 'Expression', 'Mixer', 'Multiple']",8,,,,,61.0,76,1.0,1.0,Available,0
6243,Give 2,ST Modular,"['Mixer', 'Oscillator']",12,,31.0,28.0,0.0,,76,5.0,2.0,Available,0
6244,4ms SISM (Grayscale panel),Grayscale,"['Attenuator', 'Utility', 'Quad']",12,22.0,51.0,51.0,,158.0,76,4.0,1.0,,1
6245,CGS721 - Super Psycho LFO,Elby Designs,"['LFO', 'Random']",24,,10.0,60.0,,177.0,76,5.0,1.0,Available,0
6246,VC LFO,MFB,"['Envelope Generator', 'LFO']",8,40.0,30.0,30.0,0.0,89.0,76,3.0,1.0,Available,0
6247,Horror Show,Frequency Central,"['Noise', 'Oscillator', 'Ring Modulator']",4,45.0,11.0,11.0,0.0,110.0,76,5.0,2.0,Available,0
6248,S&H,Tenderfoot Electronics,"['Sample and Hold', 'Dual/Stereo', 'Noise']",4,26.0,5.0,5.0,0.0,99.0,76,,0.0,Available,0
6249,CLK,Tenderfoot Electronics,"['Clock Generator', 'Clock Modulator']",4,30.0,68.0,0.0,0.0,,76,,0.0,Available,1
6250,Launch Codes 8x Mult/Switch Expander,Antimatter Audio,"['Expander', 'Sequencer', 'Switch']",4,,10.0,10.0,0.0,133.0,76,3.0,2.0,Available,0
6251,Lunar Modulation Center 2014 Run,Blue Lantern Modules,"['LFO', 'Oscillator']",18,32.0,56.0,58.0,,252.0,75,3.5,4.0,Discontinued,0
6252,MiniMod Dual LFO + VCA (Silver Panel Version),AJH Synth,"['LFO', 'VCA', 'Dual/Stereo']",10,26.0,25.0,22.0,0.0,274.0,75,,0.0,Available,0
6253,Black & Gold Shifty Panel,Modular Maculata,"['Clock Modulator', 'Multiple', 'Sample and Hold', 'Sequencer', 'Switch']",6,40.0,49.0,4.0,0.0,17.0,75,,0.0,Available,1
6254,LFO,MeeBilt,['LFO'],6,20.0,15.0,15.0,,27.0,75,,0.0,Available,0
6255,Slimline Dual Sample&Hold,CatSynth,['Sample and Hold'],2,39.0,15.0,15.0,0.0,27.0,75,5.0,2.0,Available,1
6256,User Writeable Quantizer,Barton Musical Circuits,['Quantizer'],12,,,,,97.0,75,,0.0,,0
6257,DV3,York Modular,"['Envelope Generator', 'Dual/Stereo']",4,,,,,40.0,75,,0.0,Available,0
6258,Dual VCA,Sfeo,['VCA'],4,27.0,,,,75.0,75,3.0,1.0,Available,0
6259,DHO,AtoVproject,"['LFO', 'Oscillator', 'Random', 'Waveshaper']",36,20.0,215.0,140.0,0.0,850.0,75,5.0,2.0,Available,0
6260,VC ROUTE MK2,Seismic Industries,"['Utility', 'Switch']",6,13.0,6.0,5.0,0.0,55.0,75,4.0,2.0,Discontinued,1
6261,J-Conv,Feedback,"['External', 'Multiple', 'Utility']",6,25.0,,,,39.0,75,,0.0,Available,1
6262,Five Channel Passive Pro,Blue Lantern Modules,"['Attenuator', 'Switch', 'Utility']",12,38.0,,,,61.0,75,,0.0,Available,0
6263,MULTIPLE,eurorack essentials,"['Multiple', 'Utility']",8,15.0,,,,109.0,75,4.33,3.0,Available,1
6264,Radiophonic workshop,Error Instruments,['Noise'],8,,,,,199.0,75,,0.0,Available,0
6265,The Postman EG v1.0,Hexinverter Électronique,"['Envelope Generator', 'Quad']",22,,,,,250.0,75,,0.0,Discontinued,1
6266,RS-400 Phase Shifter,Analogue Systems,['Phase Shifter'],12,,25.0,25.0,0.0,260.0,75,5.0,1.0,Discontinued,0
6267,pusherman switched mult,Pusherman,"['Utility', 'Multiple']",6,10.0,,,,15.0,75,,0.0,Available,0
6268,A-535 Gain Up! (Silver),Ladik,"['PreAmp', 'Utility']",4,35.0,20.0,,,50.0,75,,0.0,Available,0
6269,Quadrophonic Mixer,Sputnik Modular,"['Equalizer', 'Mixer', 'Reverb']",28,,,,,,75,5.0,1.0,,0
6270,raw spring - mirror-,Error Instruments,['Controller'],3,,,,,34.0,75,,0.0,Available,0
