,Name,Manufacturer,Functions,HP,Depth,+12V (mA),-12V (mA),+5V (mA),Price (€),Racks,Rating,Votes,Available,Approved
0,Plaits,Mutable instruments,"['Noise', 'Oscillator', 'Synth Voice', 'Drum', 'Digital']",12,25.0,50.0,5.0,0.0,250.0,62584,4.57,352.0,Discontinued,0
1,Pamela's NEW Workout,ALM Busy Circuits,"['Clock Generator', 'Digital', 'LFO', 'Clock Modulator', 'Random', 'Sequencer', 'Envelope Generator', 'Quantizer']",8,22.0,50.0,1.0,0.0,279.0,55808,4.75,382.0,Discontinued,0
2,Morphagene,Make Noise,"['Sampling', 'Delay', 'Digital', 'Dual/Stereo', 'Envelope Follower', 'Looper']",20,30.0,165.0,20.0,0.0,569.0,49149,4.63,217.0,Available,1
3,Maths,Make Noise,"['Attenuator', 'CV Modulation', 'Envelope Follower', 'Envelope Generator', 'Function Generator', 'LFO', 'Logic', 'Slew Limiter']",20,24.0,60.0,50.0,0.0,268.0,49099,4.75,562.0,,1
4,Disting mk4,Expert Sleepers,"['Effect', 'Quantizer', 'Utility', 'LFO', 'Oscillator', 'Delay', 'Waveshaper', 'Sampling']",4,42.0,51.0,19.0,0.0,189.0,48139,4.48,265.0,Available,0
5,Maths (white knobs),Make Noise,"['Attenuator', 'CV Modulation', 'Envelope Follower', 'Envelope Generator', 'Function Generator', 'LFO', 'Logic', 'Slew Limiter']",20,24.0,60.0,50.0,0.0,319.0,44616,4.69,176.0,Available,0
6,Rings,Mutable instruments,"['External', 'Oscillator', 'Filter']",14,25.0,120.0,5.0,0.0,299.0,42339,4.67,309.0,Discontinued,1
7,Quad VCA,Intellijel,"['Mixer', 'VCA', 'Quad']",12,29.0,65.0,65.0,0.0,189.0,41668,4.63,205.0,Available,1
8,Mimeophon,Make Noise,"['Delay', 'Effect', 'Dual/Stereo', 'Digital', 'Looper', 'Reverb']",16,30.0,100.0,10.0,0.0,399.0,38971,4.52,165.0,Available,1
9,Clouds,Mutable instruments,"['Effect', 'Delay', 'Digital', 'Pitch Shifter ', 'Sampling']",18,25.0,120.0,10.0,0.0,299.0,37024,4.44,334.0,Discontinued,1
10,Beads,Mutable instruments,"['Delay', 'Digital', 'Dual/Stereo', 'Effect', 'Random', 'Reverb']",14,25.0,100.0,10.0,,299.0,35307,4.66,157.0,Discontinued,1
11,ochd,DivKid,"['CV Modulation', 'LFO']",4,32.0,80.0,80.0,0.0,165.0,35139,4.75,165.0,Available,1
12,Batumi,Xaoc Devices,"['Clock Generator', 'LFO', 'Quad', 'Random']",10,45.0,45.0,15.0,0.0,280.0,30954,4.71,263.0,Available,1
13,Buff Mult,Intellijel,"['Multiple', 'Dual/Stereo', 'TrueGrid']",2,39.0,4.0,17.0,0.0,80.0,30756,4.5,113.0,Available,1
14,Marbles,Mutable instruments,"['Sequencer', 'Clock Generator', 'Clock Modulator', 'Quantizer', 'Random', 'Digital']",18,25.0,80.0,20.0,0.0,299.0,27799,4.7,217.0,Discontinued,0
15,uZeus,Tiptop Audio,['Power'],4,34.0,,,,80.0,27675,4.35,108.0,Available,1
16,Richter Wogglebug 2014,Make Noise,"['Random', 'Clock Generator', 'Oscillator', 'Ring Modulator', 'Sample and Hold', 'Slew Limiter']",10,24.0,50.0,40.0,0.0,224.0,27312,4.41,167.0,,1
17,Pressure Points,Make Noise,"['Controller', 'Sequencer']",20,24.0,20.0,0.0,0.0,195.0,25992,4.41,176.0,,1
18,A-124 SE,Doepfer,['Filter'],8,45.0,30.0,10.0,0.0,85.0,24911,4.49,166.0,Available,0
19,QPAS,Make Noise,"['Filter', 'VCA', 'Dual/Stereo', 'Quad']",18,30.0,166.0,190.0,0.0,341.0,24857,4.5,110.0,Available,1
20,Pamela's PRO Workout,ALM Busy Circuits,"['Clock Generator', 'Clock Modulator', 'Function Generator', 'LFO', 'Sequencer', 'Digital', 'Quantizer', 'Random']",8,32.0,60.0,10.0,0.0,318.0,24232,4.89,92.0,Available,0
21,Pico DSP,Erica Synths,"['Delay', 'Distortion', 'Effect', 'Panning', 'Reverb']",3,35.0,82.0,20.0,,120.0,24226,4.26,94.0,Available,1
22,Stages,Mutable instruments,"['CV Modulation', 'Envelope Generator', 'LFO', 'Sample and Hold', 'Sequencer', 'Slew Limiter']",14,25.0,80.0,20.0,0.0,299.0,23675,4.58,160.0,Discontinued,0
23,RackBrute 6UPower,Arturia,['Power'],5,80.0,,,,300.0,23129,4.5,48.0,Available,0
24,Ears,Mutable instruments,"['Controller', 'Envelope Follower', 'External', 'PreAmp']",4,25.0,5.0,5.0,0.0,99.0,22667,4.59,123.0,Discontinued,0
25,Zadar,Xaoc Devices,"['CV Modulation', 'Digital', 'Envelope Generator', 'Function Generator', 'LFO', 'Quad']",10,,90.0,40.0,,310.0,22404,4.53,128.0,Available,1
26,Links,Mutable instruments,"['Multiple', 'Mixer']",4,20.0,15.0,15.0,0.0,69.0,21177,4.5,151.0,Discontinued,1
27,A-140,Doepfer,"['Envelope Generator', 'TrueGrid']",8,50.0,20.0,20.0,0.0,74.0,20832,4.13,111.0,Available,0
28,Moog Mother-32,Moog Music Inc.,"['Synth Voice', 'Clock Generator', 'MIDI', 'Sequencer']",60,26.0,230.0,0.0,0.0,540.0,20777,4.59,252.0,Available,0
29,Basimilus Iteritas Alter (Black),Noise Engineering,"['Drum', 'Oscillator']",10,28.0,80.0,5.0,90.0,359.0,20602,4.65,84.0,Discontinued,1
